episode_id,split,shard,hdf5_group,steps,success,failure_reason,completion_time_s,total_reward,parallel_batch_index,parallel_env_index,parallel_num_envs,domain_randomization,object_x_m,object_y_m,object_yaw_deg,object_mass_kg,static_friction,dynamic_friction,camera_applied,camera_data,camera_frames,source_camera_sha256,source_episode_path,source_trajectory_sha256
1,validation,shards/shard_00000.h5,/episodes/episode_000001,123,True,none,2.46,5.711896659578088,0,0,8,True,0.44154414492211524,-0.2913530744907891,119.82440652868195,0.3839527397307778,0.22350812310396517,0.18067535634447646,True,True,29,c163ba5dab5bfd6cdfb6b979172d0e5149ccdfd4aa62b76b9a13f6b36b8b7336,episode_000001,33f6427d830fd6c5d2b95515d68c2a5beab8761aebfad3549af6ad28768566c9
2,train,shards/shard_00000.h5,/episodes/episode_000002,121,True,none,2.42,5.976536508131176,0,1,8,True,0.5675322192570927,-0.11302560422915081,168.26399099410241,0.2419331458473635,0.6971154663968357,0.47088817320424375,True,True,28,bb90a94e5c6d9d0ddaf695858271b7a9b1a84d875baeb24cfd85925c10fbc465,episode_000002,2117706c8df8cc860af409ace70adba73e38fb2b69b12c2fca9e4a8be91ccdd7
3,test,shards/shard_00000.h5,/episodes/episode_000003,119,True,none,2.38,6.141217566426349,0,2,8,True,0.5374097275344346,-0.03559710042171582,171.30426481685777,0.4070312818112384,0.24114891800550342,0.21077459801886783,True,True,26,e5919e152d1f8f75b02de3e2119c91053cfff3a1e47f5c6d4f35ea5d89282619,episode_000003,367798348fef8d9d0760344b01b754cd74e732ae35f61f3e9e1354a49713be6d
4,train,shards/shard_00000.h5,/episodes/episode_000004,120,True,none,2.4,5.931273136347954,0,3,8,True,0.45132925445092376,-0.17250392801373518,-40.40885604712335,0.057507236949333615,0.41083143040531417,0.2719803331246259,True,True,27,bec69352405bdccc5b8c68d2bbe2b88a9eb27e2781eb276ec7ec4c154f375fcc,episode_000004,ec425507ca29f7158b514757919f9329b40b6016c507dfa7c57fdbf5fb763160
5,train,shards/shard_00000.h5,/episodes/episode_000005,120,True,none,2.4,5.959864430788912,0,4,8,True,0.5509720376312046,0.05449347070256699,61.11173749736599,0.19211844008702164,0.3284822534251837,0.30589448503755645,True,True,27,cde783eb078a96f2e04aea544185fb66911438bc1770586f1ce1f3a63205ecfc,episode_000005,32ecbb88afdac1f1122097982b1a6b64150e35cd28a58727ba6bb1867c07df3d
6,train,shards/shard_00000.h5,/episodes/episode_000006,117,True,none,2.34,5.915441611221468,0,5,8,True,0.39557829892091084,-0.10457741398668224,76.09580401796694,0.07379934599911404,0.7540995656053603,0.6987904651308195,True,True,25,850f0e205af39687afd0321718b6deaf0357af95364359c6c281655b56ae052d,episode_000006,c02df7d2307da76081debb5421b91778ddd5992627fa7d09154589954252de78
7,validation,shards/shard_00000.h5,/episodes/episode_000007,180,False,max_steps,3.6,0.7296704559535101,0,6,8,True,0.5827885199314062,0.2125002473925916,51.741114200233824,0.18047420235068837,0.10302413329248222,0.05454617442323181,True,True,42,1ff46abb6b454ac505934412013e5370d53ae1dcab7bcc5de1356ed7d2816df7,episode_000007,f31fa9a1abd7099c4e94df7d66ac1490f6da2436fe34adfe87cb0df4cf9aa184
8,train,shards/shard_00000.h5,/episodes/episode_000008,126,True,none,2.52,6.090095765852311,0,7,8,True,0.6681739098150918,-0.03035066646783169,76.75601336978315,0.03026054227955157,0.10419360110327497,0.06335256125916412,True,True,31,04776fcf14196ec7571e5a571bccb647ef3eb99111423324a31eb0ed2d0dbf55,episode_000008,943e42d73fa35ba87c996ec5c9317c783d38f41995c3c39e3952556c83a7bfe8
9,train,shards/shard_00000.h5,/episodes/episode_000009,180,False,max_steps,3.6,0.9919709146158766,1,0,8,True,0.7592905799878498,-0.12296153543416471,127.06293243492598,0.22653792686840232,0.8301689999532601,0.6370973830804924,True,True,40,a560a268bdf660a230ab525cd6eb19fdb309229cebe3328703facbadd3a0fa52,episode_000009,4f56375ea9f8c8320ae134b860b55ef054630328cf798c3bc4a28d01203c8849
10,train,shards/shard_00000.h5,/episodes/episode_000010,120,True,none,2.4,6.1346967462613975,1,1,8,True,0.5637198672633074,0.0033384055471576968,88.26349729230691,0.3103032754554053,0.32868191127348684,0.24668681338966494,True,True,26,b544aa869afc409cc18ebfb65798650925caeee22a5f0b88932f7bff4b6bc330,episode_000010,94c4686af216acdadc86ee480328796d7c9a46f71a88ba26565990c8fc5a4465
11,train,shards/shard_00000.h5,/episodes/episode_000011,120,True,none,2.4,5.992945275712373,1,2,8,True,0.49110869480468466,0.167956372993252,25.27218689849758,0.09025866490830932,0.7787745245436172,0.4027959667975981,True,True,26,08248736388d416b5160a0621de191c4e4264ad16ef5fb964a71aedb699fa11f,episode_000011,d70c0b90a0c6f9118a6e07b22f345b2d5e998b62da6904484a6b82f6cef612f1
12,train,shards/shard_00000.h5,/episodes/episode_000012,120,True,none,2.4,5.750296817600429,1,3,8,True,0.43453241406831333,0.19921098774997936,160.024650845312,0.4368147333625101,0.6797729674866567,0.5649410149688178,True,True,26,16020729d7f1b080ecdc195d205d50be5e01355456b7aa3ce84475701670dcb6,episode_000012,df88fb638b237bb1e40dc66a6d931c1623fad4fabfd1b0f49a40b62b162a7f14
